Destino,Und Negocio,Desripcion,Marca,Existencia,Minima,Costo,Precio Lista,Dscto  Corp,Dscto VIP
PV,Hair Salon,KER RESISTANCE CONCENTRADO 10*12ML A21 VERDE ampollas,KERASTASE,7,10,8.01,12.96,11.67,11.08
PV,Hair Salon,KER SPE ANTI CAIDA STIMULISTE 125ML,KERASTASE,0,1,29.50,47.74,42.97,40.82
PC,Hair Salon,KER SPE BAIN EXFOLIANT HYDRATANT 1000ML,KERASTASE,0,1,54.00,0.00,0.00,0.00
PV,Hair Salon,KER SPE BAIN EXFOLIANT HYDRATANT 200ML,KERASTASE,2,1,21.90,35.44,31.90,30.30
PV,Hair Salon,KER SPE BAIN EXFOLIANT HYDRATANT 200ML,KERASTASE,2,1,21.90,35.44,31.90,30.30
PV,Hair Salon,KER SPE BAIN EXFOLIANT PURIFIANT 200ML,KERASTASE,1,1,21.90,35.44,31.90,30.30
PV,Hair Salon,KERATIN REFILL BLOW DRY 150ML 315,LOREAL,1,1,23.11,34.11,30.70,29.16
PV,Hair Salon,KERATIN REFILL MASQ 200ML,LOREAL,1,1,22.19,32.75,29.48,28.00
PV,Hair Salon,KERATIN REFILL SHAMPOO 250ML,LOREAL,2,1,17.00,25.09,22.58,21.45
PV,Hair Salon,KERATIN REFILL SHAMPOO 500ML,LOREAL,1,1,27.70,40.88,36.79,34.95
PC,Hair Salon,KERATINA CERO FRIZZ 3 PASOS 1000ML,SILKY,1,1,0,0,0,0
PV,SPA,KIANTY VINIFERIN EYES & LIPS CREAM 15ML,Bruno Vassary,1,1,39.00,53.59,48.23,45.82
PC,Nail Bar,KIT DESCARTABLE PARA EL EMBELLECIMIENTO DE PIES,Otros,4,1,0,0,0,0
PV,Hair Salon,KIT NAVIDAD DISCIPLINE,KERASTASE,0,1,67.85,109.81,98.83,93.89
PV,Hair Salon,KIT NAVIDAD NUTRITIVE 1,KERASTASE,1,1,47.80,77.36,69.62,66.14
PV,Hair Salon,KIT NAVIDAD NUTRITIVE 2,KERASTASE,3,1,64.60,104.55,94.09,89.39
PV,Hair Salon,KIT NAVIDAD REFLECTION,KERASTASE,4,1,64.60,104.55,94.09,89.39
PV,Hair Salon,KIT NAVIDAD RESISTANCE FORCE A,KERASTASE,1,1,64.60,104.55,94.09,89.39
PC,Hair Salon,kit spray shine brillo para peinados,Otros,1,1,0,0,0,0
PC,Hair Salon,LABIALES,Otros,3,1,0,0,0,0
